company,# applications,avg_wages
BELLEVUE REAL ESTATE,1,"$80,000"
STARTS YORK REALTY,1,"$98,030"
BEME CLOTHING GROUP,1,"$42,162"
STAPLE DESIGN STUDIO,1,"$114,000"
STAR,1,"$115,000"
BERGER LEGAL SECONDMENT SOLUTIONS,1,"$210,000"
STAR MANAGEMENT SERVICES,1,"$180,000"
RAMANI GROUP,1,"$55,786"
CINEMAS,1,"$43,118"
CINEMAYA,1,"$60,000"
STAR SOLITAIRE,1,"$85,738"
BERENSON,1,"$125,000"
BERARD ASSOCIATES,1,"$65,000"
RALPH APPELBAUM ASSOCIATES,1,"$70,000"
BERA BRAND MANAGEMENT,1,"$205,000"
BENNIE BRAND,1,"$104,000"
BENFIELD,1,"$80,000"
CIPHERHEALTH,1,"$82,550"
STARR INVESTMENTS HOLDINGS,1,"$125,000"
STARRIFIC,1,"$65,000"
RAININ GROUP,1,"$95,025"
CIRCULAR EDGE,1,"$112,895"
RAINES FISCHER,1,"$59,000"
RAINE GROUP,1,"$170,000"
BHATIA ASSOCIATES,1,"$38,272"
CICC INVESTMENT MANAGEMENT,1,"$153,000"
BLUE FOUNTAIN MEDIA,1,"$41,371"
SOTHEBYS,1,"$125,000"
CHLOE ISABEL,1,"$80,000"
REDBURN,1,"$135,000"
REDAC,1,"$43,784"
SOPHIS,1,"$108,150"
CHOBANI,1,"$130,000"
CHOBANI GLOBAL HOLDINGS,1,"$192,478"
BLACKBOARD COLLABORATE,1,"$111,000"
RECP WEST,1,"$92,914"
SOTERIX MEDICAL,1,"$67,392"
REPAIR WORLD,1,"$80,000"
RECOVERY PHYSICAL THERAPY,1,"$64,043"
CHINESE AMERICAN CULTURAL ASSOCIATION,1,"$52,000"
CHOICE LOGISTICS,1,"$56,100"
SOTHERN CROSS HOSPITALITY,1,"$52,000"
SOULCYCLE HOLDINGS,1,"$175,000"
SOUND POINT CAPITAL MANAGEMENT,1,"$129,869"
BLACK MOUNTAIN SYSTEMS,1,"$81,313"
BLACK BOOK TRAVEL,1,"$65,000"
RECOMBINE,1,"$110,000"
BKSK ARCHITECT,1,"$62,000"
RECOGNITION MEDIA,1,"$120,000"
SOURCEMEDIA,1,"$114,000"
BLACKROCK CAPITAL MANAGEMENT,1,"$126,423"
BLACKROCK CORPORATION,1,"$68,773"
CIBER,1,"$105,000"
SOLUTION PARTNERS,1,"$110,000"
REED SMITH,1,"$240,000"
SOLIYA,1,"$60,000"
BLOOMINGDALE,1,"$65,000"
BLOOMBERG TRADEBOOK,1,"$95,000"
SOLOMON SCHECHTER SCHOOL MANHATTAN,1,"$36,504"
BLOGLOVIN,1,"$90,000"
BLENHEIM CAPITAL MANAGEMENT,1,"$100,000"
BLEIBURG RESTAURANT,1,"$52,478"
REDTOP ARCHITECTS,1,"$58,000"
REDSCOUT,1,"$150,000"
SOLUTION PROVIDERS,1,"$72,000"
BLADEX ASSET MANAGEMENT,1,"$52,000"
BLANK ROME,1,"$116,284"
SOLUTIONS GROUP CORP,1,"$62,000"
REDKITE,1,"$80,000"
SOLVE,1,"$64,480"
SOMERSET PARTNERS,1,"$70,000"
BLAKELEY BLAKELEY,1,"$150,000"
SONENSHINE PARTNERS,1,"$70,000"
REDI GLOBAL TECHNOLGIES,1,"$200,000"
REDHOUSE CAPITAL MANAGEMENT,1,"$60,000"
BLAIR DOWD ARCHITECTS,1,"$72,000"
REBOOT,1,"$44,824"
CHOITHRAM SONS,1,"$48,750"
SOUTHERN CROSS HOSPITALITY,1,"$52,000"
BIDONTHECITY,1,"$58,011"
SPLASH,1,"$105,000"
BILL HILARY CHELSEA CLINTON FOUNDATION,1,"$62,050"
REAL ESTATE SYSTEMS IMPLEMENTATION GROUP,1,"$87,500"
REAL ESTATE SERVICE,1,"$50,000"
SPOKE MEDIA,1,"$47,162"
BILBOQUET,1,"$90,000"
REAL ESTATE INVESTMENT MANAGERS,1,"$80,000"
SPORTS INVESTMENT COMPANY,1,"$60,000"
CHRISTIAN DIOR,1,"$95,000"
CHRISTIAN POST,1,"$55,000"
REAL ESTATE,1,"$121,678"
SOVARNUM CAPITAL,1,"$125,000"
SPORTSVITE,1,"$75,000"
BIDKIND,1,"$75,000"
CHRISTLETON CONSULTING,1,"$85,249"
READY ROCKET,1,"$110,000"
CHUBB CORPORATION,1,"$58,000"
CHUNG INSTITUTE RELIGIONS PHILOSOPHY,1,"$150,000"
BICKEL BREWER,1,"$205,000"
BIBHU,1,"$43,056"
RBSM,1,"$55,120"
BI-SAM INC.,1,"$109,990"
REAL FOUNDATION,1,"$160,160"
SPITZBERG PARTNERS,1,"$80,000"
SPINEART,1,"$140,000"
REAL HOSPITALITY GROUP,1,"$92,508"
BIZPAGE,1,"$56,597"
REBECCA SOLOW,1,"$52,000"
SOZO ARTISTS,1,"$40,800"
BIZ2CREDIT,1,"$75,000"
SPACE YORK,1,"$127,680"
CHOPARD,1,"$40,500"
REALTY CAPITAL SECURITIES,1,"$65,000"
BISNOW,1,"$90,000"
SPAN ARCHITECTURE,1,"$53,040"
SPARITY,1,"$74,700"
CHORD ADVISORS,1,"$56,160"
SPECIAL COUNSEL,1,"$95,300"
BIOLUMINA GROUP,1,"$155,000"
REALTY,1,"$54,642"
REALPAGE,1,"$105,000"
SPECTRA INFO SYSTEMS,1,"$76,000"
SPENCER ROAD,1,"$65,000"
SPERIDIAN TECHNOLOGIES,1,"$89,378"
BINTEL GROUP,1,"$57,000"
REALNETWORKS,1,"$72,645"
SPIN,1,"$63,300"
BRAND PROGRAMMING NETWORK,1,"$49,900"
RESOLUTE DIGITAL,1,"$45,000"
SINGULARITY INTERNATIONAL CORPORATION,1,"$44,824"
CENTER REPRODUCTIVE RIGHTS,1,"$60,000"
SARATOGA ASSOC LANDSCAPE ARCH ARCH ENGINEERS,1,"$41,101"
ROCKEFELLER PHILANTHROPY ADVISORS,1,"$137,500"
CALLISON,1,"$94,200"
ROCK PAPER SCISSORS EAST,1,"$130,000"
SARKISSIAN MASON,1,"$37,128"
SATIN SOLUTIONS,1,"$73,000"
ROCK CAPITAL PARTNERS,1,"$151,000"
SATURN TECH,1,"$50,000"
CALIFORNIA INSTITUTE TECHNOLOGY,1,"$138,000"
ROCHE BOBOIS,1,"$90,000"
SAVE YOUR SOLE,1,"$45,000"
CAESAR NAPOLI,1,"$38,000"
CADIAN CAPITAL MANAGEMENT,1,"$125,000"
SAVVIS COMMUNICATIONS CORPORATION,1,"$178,651"
SAVWATT,1,"$67,205"
ROBYN CREATIVE,1,"$55,000"
SAYEON,1,"$80,000"
CADATASOFT,1,"$90,000"
SCALABLE METHODS,1,"$72,987"
CELTIC CROSS HOLDINGS,1,"$58,000"
ROBERTSON FOUNDATION,1,"$116,085"
ROBERTS ROBERTS,1,"$57,200"
SCANBUY,1,"$70,000"
CALVERT MEDIA,1,"$75,000"
SARAR,1,"$60,050"
CAMBRIDGE ALLIANCE CAPITAL,1,"$67,205"
SAPHIRE SOLUTIONS,1,"$71,510"
SANDEEP DIAMOND CORPORATION,1,"$140,000"
CAPITAL CORPORATION,1,"$130,000"
SANDLER CAPITAL MANAGEMENT,1,"$95,000"
SANKY COMMUNICATIONS,1,"$47,424"
SANKYO FLUTES,1,"$97,760"
CAPE ADVISORS,1,"$140,234"
CANVAS INFOTECH,1,"$47,424"
CANTOR DING VENTURES,1,"$44,304"
CANTILLON CAPITAL MANAGEMENT,1,"$120,000"
SANVISTA,1,"$71,200"
CANTAMESSA,1,"$40,082"
CELMAC TECHNOLOGY SERVICES,1,"$75,000"
CELINE,1,"$95,100"
CELLO CAPITAL MANAGEMENT,1,"$75,000"
CANALI RETAIL,1,"$98,500"
ROCKTHEPOST CORPORATION,1,"$50,000"
ROCKSTAR GAMES,1,"$105,000"
ROCKPORT,1,"$175,000"
SARA MOONVES,1,"$42,000"
ROCKETDOGNYC,1,"$50,150"
SARAMAX APPAREL GROUP,1,"$79,851"
CELLVAL,1,"$65,000"
SCAPE LANDSCAPE ARCHITECTURE PLLC,1,"$45,000"
SCENTERPRISES,1,"$44,824"
RITES,1,"$110,240"
CENTER548,1,"$55,120"
SCOOP MANAGEMENT,1,"$44,824"
RKTEK,1,"$65,000"
SCOPIA CAPITAL MANAGEMENT,1,"$175,000"
BUSINESS TECHNOLOGY SOFTWARE SOLUTIONS,1,"$60,362"
RIZZANI ECCER,1,"$70,000"
SCOPUS CONSULTING GROUP,1,"$65,000"
RIZWAN ABDUS SALAM CONSULTING ENGINEERS,1,"$61,526"
SCOR REINSURANCE COMPANY,1,"$260,000"
RIVINGTONS ORCHARD,1,"$54,642"
BUSINESS SOLUTIONS,1,"$76,878"
RIVIERA CONSULTING,1,"$90,000"
CENTRIFUGAL ASSOCIATES GROUP,1,"$90,000"
BEANSTOCK MEDIA,1,"$63,600"
SCOTIA CAPITAL,1,"$85,600"
"SCP NY, INC.",1,"$130,000"
SCQUARE INTERNATIONAL,1,"$120,000"
BUSINESS SOFTWARE SOLUTIONS,1,"$67,681"
RIVERSIDE LANGUAGE PROGRAM,1,"$45,000"
BUSINESS REPORTING MANAGEMENT SERVICES,1,"$60,500"
CENTROID PARTNERS,1,"$66,000"
CENTURY FOUNDATION,1,"$100,000"
RIVER BIRCH CAPITAL,1,"$200,000"
SCRIPT RELIEF,1,"$49,500"
SCINTILLATING IMPORTS,1,"$50,000"
RMC USA INC.,1,"$44,000"
SCIENTIFIC MEDIA,1,"$180,000"
C-SAM INC,1,"$120,000"
SCEPTER TECHNOLOGIES,1,"$83,200"
SCHACHTER DIAMONDS,1,"$106,080"
SCHATZI CORPORATION,1,"$62,400"
SCHAUM SHIEH ARCHITECTURE CORPORATION,1,"$38,000"
SCHAWK,1,"$65,000"
SCHLAICH BERGERMANN PARTNER,1,"$66,000"
ROBERT ROTHSCHILD,1,"$62,400"
ROBERT PARCHMENT PLUMBING HEATING,1,"$58,011"
SCHOOL VISUAL ARTS,1,"$228,800"
ROBERT KENNEDY CENTER JUSTICE HUMAN,1,"$40,000"
SCHREIBER,1,"$140,000"
SCIENTIFIC,1,"$104,291"
BYUNG SONG,1,"$55,120"
ROBERT ETTINGER,1,"$48,500"
CENTINEL SPINE,1,"$70,000"
CENTRAL MERCHANT,1,"$46,176"
CENTRAL PARK GROUP,1,"$62,500"
CENTRE ASSET MANAGEMENT,1,"$75,000"
BYRONESQUE,1,"$44,824"
BWISE INTERNAL CONTROL,1,"$109,460"
SCHWINGHAMMER LIGHTING,1,"$38,000"
SCIENT,1,"$72,000"
CAPITAL DYNAMICS,1,"$185,000"
ROCKWELL SECURITIES,1,"$67,600"
SAMUEL ISALY,1,"$45,000"
CAPITAL GROUP COMPANIES,1,"$72,171"
ROSENBLATT SECURITIES,1,"$70,000"
RUDOLF STEINER SCHOOL,1,"$52,000"
CAST AMERICAS,1,"$200,000"
CATLIN,1,"$131,785"
RUSSELL GROVES ARCHITECT,1,"$41,101"
RUSSELL REYNOLDS ASSOCIATES,1,"$96,500"
RUSSELL TOBIN ASSOCIATES,1,"$72,800"
ROSEMONT PROPERTY MANAGEMENT,1,"$44,824"
ROSCOMMON,1,"$200,000"
RUSSIAN IMPORTS,1,"$59,738"
CASE DESIGN,1,"$53,331"
RUTTER ASSOCIATES,1,"$87,500"
CASA DRAGONES TEQUILA COMPANY,1,"$61,568"
CARTESIAN CAPITAL GROUP,1,"$100,000"
CARPETS,1,"$41,101"
CAXTON ASSOCIATES,1,"$150,000"
RYAN LABS,1,"$90,000"
RYAN PLLC,1,"$54,746"
RYZAC,1,"$112,500"
S4 STYLE,1,"$90,000"
ROOT BONE,1,"$84,781"
CAROUSEL LANGUAGES,1,"$42,500"
SAAMEERI,1,"$66,000"
ROSENTHAL ROSENTHAL,1,"$85,000"
RUDER FINN,1,"$75,000"
RUCHELMAN FIRM,1,"$85,000"
ROYAL WARRANTS,1,"$41,600"
ROUND STAR,1,"$58,011"
ROXANNE LOWIT PHOTOGRAPHS,1,"$63,000"
ROUBINI GLOBAL ECONOMICS,1,"$58,000"
CASTLEOAK SECURITIES,1,"$110,000"
CATES,1,"$59,987"
ROYAL CAPITAL MANAGEMENT,1,"$150,000"
CATHEDRAL SCHOOL JOHN DIVINE,1,"$41,000"
ROTHFOS CORPORATION,1,"$80,000"
ROSSPORT INVESTMENTS,1,"$156,000"
ROYAL TOUCH,1,"$46,596"
ROSSELLE ESTRELLA,1,"$54,642"
RUCHELMAN C,1,"$56,250"
RREEF,1,"$120,000"
ROSS STORES,1,"$67,000"
ROSS CAPITAL MANAGEMENT CORPORATION,1,"$95,000"
RTECH HEALTHCARE REVENUE TECHNOLOGIES,1,"$74,818"
CATHY DANIELS,1,"$90,000"
CASTLE BRANDS CORP,1,"$50,000"
ROSENWASSER GROSSMAN CONSULTING ENGINEERS,1,"$61,526"
CASTILLO,1,"$85,000"
RUBICONMD,1,"$80,000"
RUBYS UNITED,1,"$62,400"
ROOSTER GALLERY,1,"$45,000"
SAATCHI MOBILE,1,"$59,750"
CAROL MANN,1,"$40,000"
SAKS COMPANY,1,"$76,150"
SAIL ADVISORS RESEARCH,1,"$167,500"
SAINT DAVID SCHOOL,1,"$62,590"
SAINT LIBERTINE YORK,1,"$45,989"
SAINTS LIMITED,1,"$170,000"
CARBON DISCLOSURE PROJECT,1,"$53,000"
RODNEY LEON ARCHITECTS PLLC,1,"$42,000"
SAITO,1,"$63,000"
SAITO GROUP,1,"$50,000"
RODL MANAGEMENT,1,"$109,554"
RODALE,1,"$165,000"
CAPSTONE CONSULTING,1,"$125,000"
SAHI SOFTTECH,1,"$60,000"
SAKSOFT,1,"$82,500"
SALAURMOR MANAGEMENT,1,"$60,029"
CAPRICORN SYSTEMS,1,"$62,500"
CAPRICORN ADVISERS,1,"$275,000"
SALON ZIBA,1,"$45,989"
CAPITALSTAR SYSTEMS,1,"$100,000"
CAPITAL MARKETS ENGINEERING TRADING,1,"$150,000"
CAPITAL HOLDINGS,1,"$80,000"
CAPITAL GUARDIAN,1,"$250,000"
SAMSON SOFTWARE SOLUTIONS,1,"$75,000"
SAIERS CAPITAL,1,"$197,500"
CARDINAL TECHNOLOGY SOLUTIONS,1,"$65,000"
SAAVN,1,"$63,021"
CEDRUS CONSULTING,1,"$115,000"
CBIZ ACCOUNTING ADVISORY YORK,1,"$73,973"
"CBX, LLC",1,"$70,000"
RONIN TRADING,1,"$140,000"
SAFANAD,1,"$199,225"
CCOKFOX ARCHITECTS,1,"$83,000"
ROLEX WATCH,1,"$60,000"
SAFARI ENERGY,1,"$80,000"
CEDRUS,1,"$115,000"
CARNEGIE,1,"$200,000"
SAFRA ASSET MANAGEMENT CORPORATION,1,"$175,000"
CARLYLE GROUP EMPLOYEE,1,"$172,720"
SAHARA REPORTERS MEDIA GROUP,1,"$42,578"
ROGERS MARVEL ARCHITECTS PLLC,1,"$54,000"
CARLO OTTO,1,"$44,824"
SAGE,1,"$89,378"
CARIBBEAN PROPERTY SERVICES,1,"$67,500"
CELANO DESIGN STUDIO,1,"$65,000"
CAREGUARDIAN,1,"$100,000"
SAGEWORKS,1,"$70,000"
ROGER SMITH HOTEL,1,"$50,000"
CAREER CONSULTING,1,"$44,824"
SAHARA DREAMS,1,"$175,000"
BUSINESS MANAGEMENT COMPANY,1,"$58,011"
SCUID,1,"$55,250"
BRAND SCHOOL,1,"$75,000"
BREZAVAR BREZAVAR ARCHITECTS,1,"$45,000"
BRIGHTCOVE,1,"$99,750"
BRIGHTBOX,1,"$86,000"
SHRINEETA PHARMACY,1,"$57,800"
SHUTTERFLY,1,"$127,000"
SHYAM AHUJA,1,"$46,000"
SIBERTEKTURE ARCHITECT PLLC,1,"$53,040"
SIBILLA CAPITAL RESEARCH,1,"$45,323"
RETAIL,1,"$45,760"
RESULTS POSITIVE,1,"$120,000"
RESTAURANT ASSOCIATES,1,"$57,000"
BRIDGESPAN GROUP,1,"$150,000"
SIEGFRIED BASEMENT,1,"$90,000"
CHARITYBUZZ,1,"$98,000"
RESOURCES,1,"$65,520"
BRICKHOUSE ELECTRONICS,1,"$37,128"
SIERRA CAPITAL,1,"$100,000"
SIERRA CEDAR,1,"$115,000"
SIERRA INFOSYS,1,"$56,826"
CHARLES RIZZO ASSOCIATES,1,"$46,000"
CHARLES TYRWHITT,1,"$42,286"
RESOURCE AMERICA INFORMATION TECHNOLOGY,1,"$59,000"
SIGMA ACADEMY INTERNATIONAL,1,"$65,000"
SIGMA CAPITAL MANAGEMENT,1,"$150,000"
SHORE CONSULTANTS,1,"$39,749"
SHOPTIQUES,1,"$100,000"
BRIGHTIDEA,1,"$75,000"
SHINING HOPE COMMUNITIES,1,"$93,621"
BRONFMAN ASSOICATES,1,"$150,000"
REVISE CLOTHING,1,"$95,000"
SHEPPARD MULLIN RICHTER HAMPTON,1,"$82,472"
CHAPPUIS HALDER,1,"$60,000"
SHERMANS TRAVEL MEDIA,1,"$52,000"
SHIMOMURA CPAS,1,"$54,642"
REVENUE WATCH INSTITUTE,1,"$71,400"
CHAPTER3,1,"$70,000"
BROADWAYBOX,1,"$100,000"
REUNITED,1,"$40,082"
SHIPLEY HALMOS,1,"$41,600"
BRIGHTSTAR,1,"$73,140"
BROADPEAK PARTNERS,1,"$89,378"
CHARGEITSPOT,1,"$150,654"
CHARITY BUZZ,1,"$55,000"
SHIPPING SERVICES,1,"$66,000"
BROADLIGHT,1,"$64,000"
BRIXTON GROUP,1,"$114,400"
SHOCKING PINK,1,"$37,128"
BRITT BANTER,1,"$71,906"
RETAIL STORES,1,"$53,295"
SHOP CONSTRUCTION SERVICES,1,"$75,795"
BRICK BOND,1,"$50,000"
BREVET HOLDINGS,1,"$61,360"
SCUOLA ITALIA GUGLIELMO MARCONI,1,"$50,000"
SIGNATURE BUILDING SYSTEMS,1,"$61,000"
RESEARCH FOUNDATION CITY UNIVERSITY,1,"$52,000"
SIMINA CAPITAL ADVISORS,1,"$72,000"
CHECKM8,1,"$60,000"
SIMIT SMITH,1,"$44,824"
RESEARCH,1,"$110,000"
CHEFMOD,1,"$50,000"
REPUBLIC FAMILY,1,"$80,000"
SIMON WIESENTHAL CENTER,1,"$43,000"
REPTON GROUP,1,"$48,000"
BRANDS DIRECT MARKETING,1,"$123,500"
BRANDON THOMAS,1,"$58,500"
SIMPLETHERAPY,1,"$130,000"
BRANDLOGIC CORP,1,"$55,000"
SIMPLEX INFO SYSTEMS,1,"$120,000"
SIMPLEXDIAM,1,"$60,362"
BRANDERATI,1,"$65,000"
BRAND THEATRICAL GROUP,1,"$50,960"
REPS CORP,1,"$125,000"
SIMS GROUP HOLDINGS CORPORATION,1,"$187,500"
CHEIRON,1,"$107,000"
BRAND STUDIO,1,"$107,625"
SINDELL OFFICES,1,"$41,974"
REPEQUITY,1,"$60,000"
BRANDWIZARD TECHNOLOGIES,1,"$65,000"
CHAUNCEY STREET ENTERTAINMENT,1,"$45,000"
CHATID,1,"$96,000"
RESIMODEL,1,"$110,000"
RESOURCE AMERICA,1,"$120,000"
RESOURCE,1,"$70,000"
SIGNATURE GROUP HOLDINGS,1,"$67,205"
SIGNATURE THEATRE COMPANY,1,"$49,131"
BREVAN HOWARD INVESTMENT MANAGEMENT,1,"$200,000"
CHARTBEAT,1,"$115,500"
RESMAN,1,"$150,000"
SIGULER GUFF COMPANY,1,"$250,000"
SILENT MODELS,1,"$42,000"
SILICON ALLEY INSIDER,1,"$120,000"
CHARTER BRIDGE CAPITAL MANAGEMENT,1,"$150,000"
SILVERTHREAD FALLS,1,"$122,507"
BRAVES TECHNOLOGIES,1,"$60,000"
CHARTER GLOBAL,1,"$65,000"
SILKSTONEONE,1,"$85,000"
RESERVE MEDIA,1,"$85,000"
BRAVERMAN,1,"$54,642"
RESEARCH FOUNDATION SUNY COLLEGE OPTOMETR,1,"$50,000"
RESEARCH FOUNDATION SUNY,1,"$60,000"
SILVEIRA ATHIAS SORIANO MELLO GUIMARAES PINHEIR,1,"$40,800"
BRAUW BLACKSTONE WESTBROEK YORK,1,"$55,605"
BRASIL PLURAL SECURITIES,1,"$62,546"
BRONX,1,"$72,000"
SHELTON MINDEL ASSOCIATES,1,"$53,040"
SHEFI DIAMONDS,1,"$63,000"
BRONX COMMUNITY COLLEGE,1,"$59,608"
BUNKER YORK,1,"$38,000"
CERTIFIED PUBLIC ACCOUNTANTS FIRM STEWART,1,"$54,642"
SECURITY BENEFIT CORPORATION,1,"$150,000"
CES USA INC.,1,"$56,700"
SEER CAPITAL MANAGEMENT,1,"$76,000"
SEGAL COMPANY,1,"$82,973"
SEHERA ENTERPRISES,1,"$58,240"
BULSON MANAGEMENT,1,"$48,000"
SELERANT CORP,1,"$65,000"
BULLFROG BAUM,1,"$55,000"
BULLETT MEDIA,1,"$60,000"
SELLERS INTERNATIONAL,1,"$42,640"
BUKHMAN,1,"$83,200"
BUILDING INTELLIGENCE,1,"$72,987"
SENTRANA,1,"$65,048"
BUILD AMERICA MUTUAL CORPORATION,1,"$63,180"
SEPTIMANIE EXPORT,1,"$55,682"
RIGHT CLICK SYSTEMS,1,"$90,000"
SERENA RESOURCES LIMITED,1,"$120,000"
BUILD AMERICA MUTUAL ASSURANCE COMPANY,1,"$63,180"
CHAFFETZ LINDSEY,1,"$220,000"
CHAIN FANTASIA,1,"$54,080"
BUCKHURST FISH JACQUEMART,1,"$42,314"
BURBERRY LIMITED,1,"$71,400"
RISK SOLUTIONS,1,"$65,900"
SECURE ENDPOINTS,1,"$100,001"
SEARS HOLDINGS MANAGEMENT CORPORATION,1,"$52,000"
CENY ENTRO EDUCATIVO,1,"$89,586"
BUSINESS INTERNATIONAL GROUP,1,"$45,000"
SEABURY ADVISORS,1,"$82,413"
SEABURY ADVISORS HOLDINGS,1,"$103,000"
SEAC CORPORATION,1,"$105,000"
SEAMLESS GRUBHUB HOLDINGS,1,"$153,995"
SEAMLESS NORTH AMERICA,1,"$153,995"
SEAN KELLY,1,"$45,000"
BUSINESS INTELLIGENCE SYSTEMS,1,"$58,240"
SEARCH MEDIA,1,"$110,000"
BURO KORAY DUMAN ARCHITECTURE PLLC,1,"$42,000"
SECURANCE,1,"$73,445"
CERAMI ASSOCIATES,1,"$150,000"
SEBELLA BRANDS,1,"$60,000"
CEREBRUM SOFTWARE SOLUTIONS,1,"$60,000"
RISKON,1,"$260,000"
SECCO SQUARED,1,"$44,824"
SECOND,1,"$50,149"
BUREAU BETAK,1,"$57,000"
SECOR ASSET MANAGEMENT,1,"$80,000"
SECRETARIAT INTERNATIONAL,1,"$70,000"
CERELI,1,"$67,600"
BUCK CONSULTANTS,1,"$105,800"
BUCCELLATI,1,"$65,000"
BTSC,1,"$85,738"
CHANGSOO C,1,"$56,160"
RHOBIN DELACRUZ DESIGNS,1,"$42,286"
SHANGHAI SHENDA,1,"$46,000"
RHEEM BELL MERMELSTEIN,1,"$50,000"
SHANGRI FOLK MUSIC CULTURE,1,"$44,824"
SHANI INTERNATIONAL CORPORATION,1,"$54,704"
SHANNON RIVER FUND MANAGEMENT,1,"$150,000"
BROWN SWEET,1,"$39,364"
SHAOKAO,1,"$54,642"
BROTHERS SISTERS YORK CITY,1,"$52,000"
BROTHERS CORP,1,"$40,227"
SHAREDSERVICESLINK,1,"$44,824"
BRUCE FREEHOFF DESIGN,1,"$41,600"
REVOLUTION STAFFING,1,"$72,987"
BROTHERS ASSOCIATES,1,"$54,725"
BROOKTRAIL TECHNOLOGIES,1,"$78,000"
BROOKLYN HOSPITAL CENTER,1,"$65,964"
BROOKLYN CLOTH,1,"$37,128"
BROOKLYN BROTHERS,1,"$130,000"
BROOKFIELD PROPERTIES MANAGEMENT,1,"$90,000"
BROOKFIELD PROPERTIES HOLDING,1,"$90,000"
BROOKFIELD HOMES SERVICES,1,"$85,000"
SHEARLINK CAPITAL,1,"$50,000"
CHANGING WORLD,1,"$55,000"
SHAMEEZA EMBROIDERIES,1,"$54,642"
RIDGEWAY PARTNERS,1,"$55,000"
CHANEL COMPANY LIMITED,1,"$109,000"
CHAMELEON COMMUNICATIONS INTERNATIONAL,1,"$73,500"
SERVE VIRUTAL ENTERPRISES,1,"$127,200"
CHAMPALIMAUD DESIGN,1,"$45,000"
CHANCELLOR MASTERS SCHOLARS UNIVERS,1,"$105,830"
SERVICECHANNEL,1,"$65,000"
RICHARD LEWIS ARCHITECT,1,"$52,000"
SESAME WORKSHOP,1,"$56,202"
SEVEN BRIDGES ADVISORS,1,"$147,550"
CHANDELIER CREATIVE,1,"$175,000"
RICH GEMS,1,"$90,626"
BRUNETTI MEDIA,1,"$43,100"
SHAHID MIAN,1,"$65,000"
SEVEN POINTS CAPITAL,1,"$62,546"
SEVERUD ASSOCIATES CONSULTING ENGINEERS,1,"$77,126"
RICCI AMERICA,1,"$45,698"
SEWARD KISSEL,1,"$160,000"
BRUCE WEINMAN,1,"$54,642"
SEXY LASER HAIR REMOVAL,1,"$44,824"
RIBEIRO DUNSKY JEWELRY CORP,1,"$60,100"
RHODIUM GROUP,1,"$70,000"
SGATNYC,1,"$43,118"
SHAH DIAMONDS,1,"$72,000"
HESS ENERGY TRADING COMPANY,1,"$125,000"
SUPERVISION,1,"$125,000"
BEACHHEAD CAPITAL MANAGEMENT,1,"$200,000"
WAGEWORKS,1,"$108,915"
ALEXANDER MCQUEEN TRADING,1,"$235,000"
VISOR,1,"$85,000"
VISUAL MARKETING PARTNERS,1,"$55,000"
VISUALHOUSE,1,"$50,000"
VISVERO,1,"$84,000"
VITAL INTEL,1,"$49,026"
ALEXANDER MANN SOLUTIONS CORPORATION,1,"$127,500"
VITTORIA FOOD BEVERAGE CORPORATION,1,"$55,000"
ALEUTIAN CAPITAL PARTNERS,1,"$44,824"
VIVALDI PARTNERS,1,"$120,000"
ALCOHOOT,1,"$50,000"
VIVID CORPORATION,1,"$72,987"
ALBION PARTNERS,1,"$90,000"
VIZRT,1,"$167,008"
ALBION INVESTORS,1,"$75,000"
ALBATROSS GLOBAL SOLUTIONS,1,"$50,000"
ALAC INTERNATIONAL,1,"$100,000"
VOGUE STUDIOS,1,"$37,960"
AITHENT,1,"$95,000"
VOOK,1,"$90,000"
VORNADO MANAGEMENT CORPORATION,1,"$96,103"
VOSS,1,"$47,000"
AIRPUSH,1,"$82,500"
"AIQ, INC.",1,"$50,000"
AIMIC,1,"$85,290"
AIAS ALTERNATIVE ENERGY,1,"$68,000"
W29 BLACKHOUSE,1,"$160,000"
W3,1,"$54,080"
AGRICULTURAL BANK CHINA LIMITED,1,"$40,000"
ALEXANDER ONASSIS PUBLIC BENEFIT FOUNDATION,1,"$52,000"
VISIONSOFT INTERNATIONAL,1,"$60,000"
VISION SOLUTIONS,1,"$60,362"
ALLIANCE KNITTERS,1,"$55,661"
ALPHA INTERNATIONAL TRAVEL,1,"$40,082"
VICTORIA SECRET BEAUTY LIMITED,1,"$85,000"
ALPHA FINANCIAL MARKETS CONSULTING,1,"$165,000"
VIDEDRESSING,1,"$144,000"
ALLLEN COMPANY,1,"$150,000"
VIDRIO FINANCIAL,1,"$50,000"
ALLIED INFORMATICS,1,"$62,000"
VIGGLE,1,"$150,000"
ALLIANZ RISK TRANSFER,1,"$200,000"
ALLIANZ REAL ESTATE AMERICA,1,"$210,000"
ALLIANZ GLOBAL INVESTORS HOLDINGS,1,"$125,000"
ALLIANCE RESIDENT THEATRES YORK,1,"$53,000"
VINCE CAMUTO,1,"$85,000"
VINCI PARTNERS,1,"$160,417"
ALEXIS BITTAR,1,"$105,000"
ALLIANCE GLOBAL SERVICES,1,"$125,000"
VINSON ELKINS,1,"$160,000"
VIRGINIA AMBINDER,1,"$45,760"
ALLEN OPERATING COMPANY,1,"$79,000"
VIRRTUO TECHSOFT,1,"$61,360"
ALIVE THINKING,1,"$180,000"
VIRTUE GROUP,1,"$80,000"
ALISON BROD PUBLIC RELATIONS,1,"$120,000"
